county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Kershaw County,South Carolina,61681,62042,62242,62577,63147,63603
Lancaster County,South Carolina,76956,77753,79169,80430,83120,85842
Laurens County,South Carolina,66516,66409,66245,66172,66498,66623
Lee County,South Carolina,19205,18924,18680,18424,18379,17896
Lexington County,South Carolina,263377,266436,270052,273408,277488,281833
McCormick County,South Carolina,10225,10051,9944,9913,9861,9706
Marion County,South Carolina,32957,32762,32385,31999,31941,31747
Marlboro County,South Carolina,28896,28479,28154,27951,27889,27494
Newberry County,South Carolina,37580,37518,37580,37535,37807,38012
Oconee County,South Carolina,74357,74234,74612,74952,75232,75713
Orangeburg County,South Carolina,92291,91721,91401,90619,89924,89208
Pickens County,South Carolina,119212,119427,119670,119208,120622,121691
Richland County,South Carolina,385789,389621,393589,397645,401591,407051
Saluda County,South Carolina,19898,19864,19967,20091,20027,20053
Spartanburg County,South Carolina,284777,286133,288473,290757,293536,297302
Sumter County,South Carolina,107571,107355,108075,108035,107940,107480
Union County,South Carolina,28905,28651,28223,28027,27947,27777
Williamsburg County,South Carolina,34340,34132,33620,33140,32761,32535
York County,South Carolina,226917,230190,234558,239313,245124,251195
Aurora County,South Dakota,2700,2714,2746,2711,2743,2733
Beadle County,South Dakota,17421,17742,18038,18383,18304,18372
Bennett County,South Dakota,3444,3440,3441,3456,3432,3423
Bon Homme County,South Dakota,7055,7027,7039,7007,7008,6985
Brookings County,South Dakota,32017,32131,32703,33106,33394,33897
Brown County,South Dakota,36651,36986,37612,38315,38602,38785
Brule County,South Dakota,5285,5325,5325,5391,5329,5281
Buffalo County,South Dakota,1931,1976,2016,2020,2084,2095
Butte County,South Dakota,10130,10311,10242,10319,10307,10283
Campbell County,South Dakota,1472,1413,1385,1337,1375,1397
Charles Mix County,South Dakota,9137,9181,9196,9186,9248,9383
Clark County,South Dakota,3695,3595,3586,3625,3662,3659
Clay County,South Dakota,13836,14032,14106,13964,13991,13964
Codington County,South Dakota,27222,27406,27598,27848,27960,27939
Corson County,South Dakota,4068,4046,4082,4225,4195,4197
Custer County,South Dakota,8271,8338,8319,8422,8445,8446
Davison County,South Dakota,19505,19604,19785,19826,19861,19858
Day County,South Dakota,5716,5764,5629,5600,5558,5539
Deuel County,South Dakota,4348,4372,4372,4308,4320,4333
Dewey County,South Dakota,5326,5404,5541,5589,5677,5685
Douglas County,South Dakota,2986,2985,2961,2995,2948,2977
Edmunds County,South Dakota,4072,4058,4026,4030,3979,3999
Fall River County,South Dakota,7112,6974,6992,6831,6864,6867
Faulk County,South Dakota,2365,2371,2372,2371,2345,2337
Grant County,South Dakota,7346,7252,7254,7265,7221,7142
Gregory County,South Dakota,4263,4224,4251,4234,4221,4201
Haakon County,South Dakota,1923,1911,1911,1886,1847,1861
Hamlin County,South Dakota,5925,5961,5954,5950,5998,6047
Hand County,South Dakota,3432,3443,3388,3401,3354,3348
Hanson County,South Dakota,3334,3376,3381,3388,3399,3385
Harding County,South Dakota,1245,1297,1317,1267,1254,1267
Hughes County,South Dakota,17062,17281,17435,17443,17617,17555
Hutchinson County,South Dakota,7338,7203,7219,7177,7228,7301
Hyde County,South Dakota,1417,1396,1432,1383,1396,1397
Jackson County,South Dakota,3047,3173,3176,3235,3278,3321
Jerauld County,South Dakota,2084,2066,2037,2052,2005,1997
Jones County,South Dakota,1005,1018,1008,990,965,924
Kingsbury County,South Dakota,5136,5171,5229,5070,5076,4990
Lake County,South Dakota,11282,11605,11828,12050,12327,12622
Lawrence County,South Dakota,24197,24335,24397,24951,24717,24827
Lincoln County,South Dakota,45177,46778,48335,49892,51517,52849
Lyman County,South Dakota,3754,3819,3778,3855,3859,3876
McCook County,South Dakota,5610,5569,5604,5649,5643,5599
McPherson County,South Dakota,2453,2442,2426,2437,2426,2415
Marshall County,South Dakota,4645,4620,4663,4753,4698,4769
Meade County,South Dakota,25493,25583,25903,26529,26903,26986
Mellette County,South Dakota,2035,2108,2090,2082,2101,2050
Miner County,South Dakota,2377,2338,2318,2327,2309,2236
Minnehaha County,South Dakota,170071,171996,175435,179434,182649,185197
Moody County,South Dakota,6478,6488,6452,6424,6399,6430
Oglala Lakota County,South Dakota,13640,13911,14069,14176,14234,14373
Pennington County,South Dakota,101300,102448,104582,106416,108277,108702
Perkins County,South Dakota,2983,3013,3030,3040,3045,3019
Potter County,South Dakota,2341,2364,2353,2369,2334,2320
Roberts County,South Dakota,10180,10308,10350,10279,10344,10311
Sanborn County,South Dakota,2356,2361,2324,2320,2333,2355
Spink County,South Dakota,6410,6503,6654,6589,6580,6524
Stanley County,South Dakota,2974,2974,2962,2957,2965,2954
Sully County,South Dakota,1379,1389,1443,1455,1426,1426
Todd County,South Dakota,9643,9869,9937,10015,9930,9959
Tripp County,South Dakota,5638,5604,5483,5498,5499,5434
Turner County,South Dakota,8345,8371,8327,8351,8253,8209
Union County,South Dakota,14488,14611,14857,14812,15020,14909
Walworth County,South Dakota,5450,5571,5460,5493,5508,5443
Yankton County,South Dakota,22453,22506,22595,22680,22695,22702
Ziebach County,South Dakota,2825,2838,2872,2831,2823,2803
Anderson County,Tennessee,75154,75222,75354,75443,75382,75749
Bedford County,Tennessee,45103,45279,45327,45712,46428,47183
Benton County,Tennessee,16492,16421,16359,16281,16115,16129
Bledsoe County,Tennessee,12870,12837,12786,13778,14526,14502
Blount County,Tennessee,123156,123623,123998,124943,126124,127253
Bradley County,Tennessee,99155,100009,101222,101929,103058,104091
Campbell County,Tennessee,40716,40570,40439,40211,39910,39752
Cannon County,Tennessee,13800,13746,13848,13783,13718,13840
Carroll County,Tennessee,28466,28569,28608,28472,28207,27910
Carter County,Tennessee,57360,57483,57352,57025,56358,56486
Cheatham County,Tennessee,39120,39000,39257,39396,39714,39741
Chester County,Tennessee,17173,17212,17210,17349,17379,17471
Claiborne County,Tennessee,32234,32084,31723,31598,31624,31709
Clay County,Tennessee,7843,7819,7796,7775,7740,7771
Cocke County,Tennessee,35660,35385,35463,35309,35285,35162
Coffee County,Tennessee,52778,52880,53125,53321,53638,54277
Crockett County,Tennessee,14584,14556,14611,14597,14635,14601
Cumberland County,Tennessee,56198,56604,57048,57478,57915,58229
Davidson County,Tennessee,628131,635799,649318,659428,669094,678889
Decatur County,Tennessee,11729,11683,11658,11701,11730,11660
DeKalb County,Tennessee,18717,18795,18903,19098,19211,19182
Dickson County,Tennessee,49697,49934,50153,50195,50592,51487
Dyer County,Tennessee,38321,38142,38237,38132,37868,37893
Fayette County,Tennessee,38408,38526,38615,38765,38999,39165
Fentress County,Tennessee,17928,18021,17919,17936,17862,17917
Franklin County,Tennessee,40957,40844,40759,41258,41378,41449
Gibson County,Tennessee,49723,49855,49663,49441,49501,49399
Giles County,Tennessee,29398,29325,28926,28737,28811,28946
Grainger County,Tennessee,22709,22722,22633,22663,22815,22846
Greene County,Tennessee,68834,68981,68643,68265,68413,68580
Grundy County,Tennessee,13720,13628,13628,13478,13444,13441
Hamblen County,Tennessee,62558,62826,62718,63054,62994,63402
Hamilton County,Tennessee,337313,340918,345752,349036,350800,354098
Hancock County,Tennessee,6812,6711,6676,6634,6619,6572
Hardeman County,Tennessee,27158,26842,26523,26251,25941,25707
Hardin County,Tennessee,26052,25886,26014,26002,25843,25756
Hawkins County,Tennessee,56872,56637,56569,56740,56558,56471
Haywood County,Tennessee,18769,18541,18255,18227,18196,18023
Henderson County,Tennessee,27797,28032,28025,27976,28017,28015
Henry County,Tennessee,32381,32359,32353,32224,32261,32147
Hickman County,Tennessee,24659,24350,24142,24170,24388,24363
Houston County,Tennessee,8444,8340,8420,8284,8258,8149
Humphreys County,Tennessee,18573,18400,18299,18240,18128,18135
Jackson County,Tennessee,11577,11490,11501,11504,11478,11509
Jefferson County,Tennessee,51608,51927,52289,52312,52680,53240
Johnson County,Tennessee,18285,18212,18123,18001,17917,17830
Knox County,Tennessee,433035,436530,441097,444170,448617,451324
Lake County,Tennessee,7820,7773,7708,7714,7664,7576
Lauderdale County,Tennessee,27731,27680,27659,27526,27335,26936
Lawrence County,Tennessee,42005,42073,42154,42017,42323,42564
Lewis County,Tennessee,12151,12137,11905,11953,11872,11854
Lincoln County,Tennessee,33420,33414,33438,33568,33589,33743
Loudon County,Tennessee,48752,49088,49773,50431,50722,51130
McMinn County,Tennessee,52185,52358,52447,52401,52684,52639
McNairy County,Tennessee,26054,26040,26166,26092,26149,26066
Macon County,Tennessee,22258,22466,22509,22643,23012,23177
Madison County,Tennessee,98252,98010,98505,98707,98089,97610
Marion County,Tennessee,28234,28084,28233,28328,28396,28487
Marshall County,Tennessee,30686,30904,30940,31100,31301,31552
Maury County,Tennessee,81218,81448,82002,83640,85598,87757
Meigs County,Tennessee,11781,11667,11684,11677,11724,11830
Monroe County,Tennessee,44631,44932,45153,45225,45386,45771
Montgomery County,Tennessee,173189,176681,185311,184635,189795,193479
Moore County,Tennessee,6356,6418,6355,6325,6336,6322
Morgan County,Tennessee,22001,22062,21946,21709,21757,21498
Obion County,Tennessee,31818,31685,31356,31081,30884,30639
Overton County,Tennessee,22091,22177,22208,22004,21981,22129
Perry County,Tennessee,7930,7844,7840,7862,7843,7929
Pickett County,Tennessee,5072,5135,5073,5046,5084,5146
Polk County,Tennessee,16808,16729,16595,16628,16711,16773
Putnam County,Tennessee,72601,72905,73339,73788,74467,74553
Rhea County,Tennessee,31865,32005,32290,32498,32652,32526
Roane County,Tennessee,54144,53820,53472,53011,52756,52753
Robertson County,Tennessee,66330,66644,66700,67235,67983,68570
Rutherford County,Tennessee,263781,269097,274339,281596,289147,298612
Scott County,Tennessee,22235,22110,22157,22004,21994,21950
Sequatchie County,Tennessee,14135,14280,14425,14666,14778,14811
Sevier County,Tennessee,90131,91282,92436,93532,94889,95946
Shelby County,Tennessee,928618,933529,939672,939074,938405,938069
Smith County,Tennessee,19135,19156,19126,19064,19040,19295
Stewart County,Tennessee,13347,13239,13333,13329,13268,13259
Sullivan County,Tennessee,156833,156952,156636,156578,156803,156791
Sumner County,Tennessee,161288,163943,166183,169128,172870,175989
Tipton County,Tennessee,61147,61318,61659,61712,61812,61870
Trousdale County,Tennessee,7867,7809,7780,7785,8002,8042
Unicoi County,Tennessee,18275,18272,18233,18052,17928,17860
Union County,Tennessee,19100,19216,19112,19051,18984,19119
Van Buren County,Tennessee,5548,5523,5616,5553,5611,5677
Warren County,Tennessee,39864,39899,39775,39930,40038,40435
Washington County,Tennessee,123338,124012,124919,125488,125862,126302
Wayne County,Tennessee,16978,16997,16988,16908,16842,16748
Weakley County,Tennessee,35031,34912,34780,34283,34142,33960
White County,Tennessee,25836,26045,26086,26260,26350,26521
Williamson County,Tennessee,184068,188296,193010,198969,205334,211672
Wilson County,Tennessee,114620,116787,119106,122002,125418,128911
Anderson County,Texas,58485,58355,58010,57889,57742,57580
Andrews County,Texas,14835,15393,16121,16800,17457,18105
Angelina County,Texas,86917,87325,87623,87661,87875,88255
Aransas County,Texas,23200,23325,23688,24162,24933,25350
Archer County,Texas,9108,8836,8781,8754,8808,8715
Armstrong County,Texas,1899,1931,1945,1957,1948,1947
Atascosa County,Texas,44964,45473,46452,47077,47812,48435
Austin County,Texas,28379,28598,28560,28713,28994,29563
Bailey County,Texas,7154,7192,7136,7130,6960,7210
Bandera County,Texas,20551,20556,20616,20621,20916,21269
Bastrop County,Texas,74329,75147,74886,76032,78148,80527
Baylor County,Texas,3717,3711,3616,3607,3586,3618
Bee County,Texas,31886,32309,32440,32759,32911,32874
Bell County,Texas,312978,316120,323096,326654,329394,334941
Bexar County,Texas,1722989,1755901,1789834,1823749,1860274,1897753
Blanco County,Texas,10503,10558,10622,10635,10798,11004
Borden County,Texas,643,628,613,638,654,648
Bosque County,Texas,18258,18248,18114,17870,17734,17891
Bowie County,Texas,92675,92684,93006,93400,93298,93389
Brazoria County,Texas,314498,319375,324503,330340,338176,346312
Brazos County,Texas,195686,197505,200327,204286,209201,215037
Brewster County,Texas,9271,9354,9247,9281,9148,9145
Briscoe County,Texas,1631,1647,1564,1545,1535,1505
Brooks County,Texas,7199,7215,7184,7236,7242,7230
Brown County,Texas,38117,38016,37865,37764,37625,37896
Burleson County,Texas,17216,17244,17326,17166,17270,17460
Burnet County,Texas,42763,43347,43588,43882,44441,45463
Caldwell County,Texas,38104,38464,38711,39243,39797,40522
Calhoun County,Texas,21327,21349,21559,21734,21791,21895
Callahan County,Texas,13518,13535,13519,13528,13520,13557
Cameron County,Texas,407626,413130,415977,418071,420400,422156
Camp County,Texas,12412,12409,12461,12413,12617,12682
Carson County,Texas,6164,6271,6110,5981,6007,5969
Cass County,Texas,30430,30499,30184,30369,30274,30313
Castro County,Texas,8110,8056,8194,8027,7805,7656
Chambers County,Texas,35422,35614,36406,37240,38132,38863
Cherokee County,Texas,50915,51020,51218,51005,51052,51542
Childress County,Texas,7063,7010,7083,7048,7065,7088
Clay County,Texas,10732,10683,10517,10452,10381,10360
Cochran County,Texas,3137,3070,3020,2998,2923,2953
Coke County,Texas,3319,3282,3221,3206,3242,3238
Coleman County,Texas,8878,8738,8667,8526,8413,8338
Collin County,Texas,788629,814698,837480,858717,886052,914127
Collingsworth County,Texas,3055,3098,3027,3098,3024,3044
Colorado County,Texas,20884,20807,20692,20739,20675,20870
Comal County,Texas,109299,112059,114931,118682,123439,129048
Comanche County,Texas,13963,13881,13727,13574,13502,13430
Concho County,Texas,4098,4140,4065,4098,4045,4081
Cooke County,Texas,38456,38403,38790,38553,38828,39229
Coryell County,Texas,75604,76610,76860,76162,75507,75503
Cottle County,Texas,1506,1509,1485,1449,1427,1426
Crane County,Texas,4380,4365,4564,4746,4927,5048
Crockett County,Texas,3709,3673,3711,3752,3781,3710
Crosby County,Texas,6045,6085,6096,5988,5888,5977
Culberson County,Texas,2399,2378,2307,2292,2266,2236
Dallam County,Texas,6744,6834,6983,7025,7108,7121
Dallas County,Texas,2373464,2409778,2456444,2485781,2519625,2553385
Dawson County,Texas,13835,13788,13648,13250,13505,13520
Deaf Smith County,Texas,19446,19486,19373,19213,19201,18952
Delta County,Texas,5238,5198,5298,5186,5218,5217
Denton County,Texas,666962,685861,708300,729690,754792,780612
DeWitt County,Texas,20058,20302,20455,20480,20668,20797
Dickens County,Texas,2445,2398,2314,2282,2205,2206
Dimmit County,Texas,10036,10096,10471,10868,10995,10980
Donley County,Texas,3731,3685,3657,3576,3522,3499
Duval County,Texas,11721,11793,11582,11605,11519,11388
Eastland County,Texas,18589,18580,18410,18250,18230,18171
Ector County,Texas,137078,139733,144552,149666,154399,159436
Edwards County,Texas,1997,1971,1972,1876,1879,1894
Ellis County,Texas,150376,152406,153779,156110,159365,163632
El Paso County,Texas,803638,820015,831864,832457,835545,835593
Erath County,Texas,37887,38987,39470,39999,40617,41122
Falls County,Texas,17882,17869,17605,17260,17176,17142
Fannin County,Texas,33912,33925,33692,33653,33776,33693
Fayette County,Texas,24528,24747,24725,24794,24870,25110
Fisher County,Texas,3954,3955,3837,3842,3828,3827
Floyd County,Texas,6405,6384,6365,6266,5972,5901
Foard County,Texas,1338,1354,1308,1272,1268,1220
Fort Bend County,Texas,590581,607482,626808,654626,686650,716087
Franklin County,Texas,10600,10535,10626,10591,10593,10651
Freestone County,Texas,19810,19599,19439,19556,19647,19691
Frio County,Texas,17246,17468,17836,18168,18577,18793
Gaines County,Texas,17570,18021,18381,18846,19279,20051
Galveston County,Texas,292538,295611,301395,307303,314283,322225
Garza County,Texas,6468,6577,6456,6411,6445,6415
Gillespie County,Texas,24876,25029,25159,25330,25509,25963
Glasscock County,Texas,1231,1233,1258,1243,1291,1315
Goliad County,Texas,7223,7208,7338,7464,7507,7531
Gonzales County,Texas,19795,19763,19936,20174,20413,20573
Gray County,Texas,22459,22575,22818,22895,23419,23210
Grayson County,Texas,121042,121249,121601,122165,123419,125467
Gregg County,Texas,122015,122482,122942,123197,123159,124108
Grimes County,Texas,26614,26694,26705,26824,27069,27512
Guadalupe County,Texas,132560,135857,139733,143189,147272,151249
Hale County,Texas,36346,36426,36329,35802,34602,34360
Hall County,Texas,3352,3310,3278,3186,3105,3138
Hamilton County,Texas,8488,8415,8294,8270,8190,8159
Hansford County,Texas,5602,5581,5523,5546,5537,5610
Hardeman County,Texas,4156,4122,4055,4011,3934,3840
Hardin County,Texas,54811,55027,55102,55340,55540,55865
Harris County,Texas,4108187,4181238,4262504,4352462,4447577,4538028
Harrison County,Texas,65704,66352,66300,66214,66471,66746
Hartley County,Texas,6055,6081,6153,6061,6119,6193
Haskell County,Texas,5880,5978,5894,5890,5767,5737
Hays County,Texas,158275,163291,168571,176114,185096,194739
Hemphill County,Texas,3797,3957,4069,4121,4163,4264
Henderson County,Texas,78656,78688,78953,78635,79259,79545
Hidalgo County,Texas,779143,795272,807776,819173,831561,842304
Hill County,Texas,35129,35171,35086,34774,34731,34855
Hockley County,Texas,22858,22974,23120,23486,23599,23433
Hood County,Texas,51282,51489,52149,52889,53904,55423
Hopkins County,Texas,35202,35314,35398,35431,35857,36223
Houston County,Texas,23693,23361,23134,22735,22731,22785
Howard County,Texas,35009,35009,35523,36238,36551,37206
Hudspeth County,Texas,3464,3411,3337,3312,3211,3379
Hunt County,Texas,86337,86768,87266,87562,88822,89844
Hutchinson County,Texas,22204,21973,21954,21812,21815,21734
Irion County,Texas,1609,1605,1574,1600,1568,1554
Jack County,Texas,9014,9045,9007,8921,8880,8878
Jackson County,Texas,14077,14021,14253,14611,14729,14816
Jasper County,Texas,35799,36236,35846,35668,35583,35506
Jeff Davis County,Texas,2345,2299,2301,2221,2185,2156
Jefferson County,Texas,252451,253346,251394,252874,252439,254308
Jim Hogg County,Texas,5286,5275,5256,5221,5245,5200
Jim Wells County,Texas,40892,41205,41660,41682,41378,41382
Johnson County,Texas,151259,151955,153394,154699,157213,159990
Jones County,Texas,20223,20240,19858,20005,19816,19970
Karnes County,Texas,14861,14963,14878,14724,14857,14975
Kaufman County,Texas,103882,105293,106675,108490,111295,114690
Kendall County,Texas,33645,34511,35732,37419,38761,40384
Kenedy County,Texas,418,440,441,426,412,407
Kent County,Texas,809,819,834,796,783,764
Kerr County,Texas,49648,49627,49771,49879,50512,50955
Kimble County,Texas,4589,4598,4540,4468,4435,4388
King County,Texas,288,258,270,272,262,282
Kinney County,Texas,3595,3606,3620,3603,3505,3549
Kleberg County,Texas,32058,32057,32129,32101,31999,31857
Knox County,Texas,3723,3740,3761,3771,3850,3860
Lamar County,Texas,49812,49940,49770,49223,49457,49440
Lamb County,Texas,14000,14093,13916,13730,13585,13385
Lampasas County,Texas,19755,19944,20117,20205,20242,20588
La Salle County,Texas,6901,6995,7133,7421,7473,7631
Lavaca County,Texas,19241,19222,19451,19543,19692,19836
Lee County,Texas,16604,16603,16548,16592,16677,16898
Leon County,Texas,16745,16830,16738,16652,16791,17086
Liberty County,Texas,75857,76074,76471,77032,78200,79654
Limestone County,Texas,23467,23550,23623,23354,23421,23320
Lipscomb County,Texas,3284,3349,3441,3492,3565,3569
Live Oak County,Texas,11547,11525,11678,11850,12081,12229
Llano County,Texas,19343,18944,19086,19348,19440,19796
Loving County,Texas,83,95,81,103,87,112
Lubbock County,Texas,280256,283420,286098,289899,295039,299453
Lynn County,Texas,5902,5879,5773,5693,5753,5724
McCulloch County,Texas,8226,8278,8281,8267,8200,8341
McLennan County,Texas,235939,237827,239416,241524,243088,245671
McMullen County,Texas,712,702,736,766,804,820
Madison County,Texas,13742,13736,13726,13812,13852,14065
Marion County,Texas,10497,10434,10308,10225,10114,10160
Martin County,Texas,4816,4905,4993,5269,5450,5641
Mason County,Texas,4015,4032,4048,4145,4073,4032
Matagorda County,Texas,36705,36699,36554,36500,36469,36770
Maverick County,Texas,54487,55347,55853,56644,57188,57706
Medina County,Texas,46132,46517,46830,47319,47876,48417
Menard County,Texas,2236,2223,2225,2149,2150,2164
Midland County,Texas,136990,140139,147185,152057,155990,161077
Milam County,Texas,24687,24636,24143,24174,24254,24513
Mills County,Texas,4950,4868,4835,4884,4886,4900
Mitchell County,Texas,9417,9390,9317,8992,9081,9067
Montague County,Texas,19713,19734,19527,19438,19428,19262
Montgomery County,Texas,459336,471737,485004,499574,519054,537559
Moore County,Texas,22001,22114,22449,22293,22293,22255
Morris County,Texas,12915,12809,12740,12743,12691,12516
Motley County,Texas,1210,1216,1200,1195,1153,1148
Nacogdoches County,Texas,64667,65652,65863,65198,65271,65664
Navarro County,Texas,47852,48085,48087,48060,48034,48323
Newton County,Texas,14429,14492,14323,14209,14146,13986
Nolan County,Texas,15246,15128,14891,15074,15105,15107
Nueces County,Texas,340314,343217,347926,352950,356494,359715
Ochiltree County,Texas,10173,10435,10611,10699,10720,10747
Oldham County,Texas,2050,2075,2047,2091,2072,2069
Orange County,Texas,82010,82339,82959,83010,83519,84260
Palo Pinto County,Texas,28060,28084,27820,27832,27976,27895
Panola County,Texas,23785,24035,24014,23846,23839,23766
Parker County,Texas,117328,118526,119790,120169,122565,126042
Parmer County,Texas,10274,10292,10153,9946,9881,9749
Pecos County,Texas,15529,15633,15586,15706,15907,16203
Polk County,Texas,45477,45688,45802,45913,46192,46972
Potter County,Texas,121415,122421,122894,122367,122276,121802
Presidio County,Texas,7876,7752,7564,7286,7040,6876
Rains County,Texas,10930,11025,10943,11028,11029,11161
Randall County,Texas,121197,123371,124919,126665,128684,130269
Reagan County,Texas,3348,3385,3466,3601,3746,3792
Real County,Texas,3320,3424,3368,3321,3359,3307
Red River County,Texas,12854,12697,12714,12496,12472,12455
Reeves County,Texas,13816,13774,13911,14089,14391,14732
Refugio County,Texas,7360,7309,7236,7247,7302,7289
Roberts County,Texas,925,933,951,921,921,916
Robertson County,Texas,16571,16669,16455,16428,16448,16659
Rockwall County,Texas,78960,81100,82928,85154,87635,90861
Runnels County,Texas,10505,10560,10421,10286,10406,10551
Rusk County,Texas,53338,53692,53835,53420,53270,53070
Sabine County,Texas,10865,10679,10464,10348,10339,10368
San Augustine County,Texas,8846,8854,8840,8724,8584,8473
San Jacinto County,Texas,26445,26818,27003,26786,27096,27413
San Patricio County,Texas,64483,64476,65344,66250,66924,67357
San Saba County,Texas,6133,6041,5983,5712,5830,5901
Schleicher County,Texas,3500,3302,3252,3198,3159,3211
Scurry County,Texas,16940,16878,17094,17246,17356,17615
Shackelford County,Texas,3368,3342,3370,3373,3323,3350
Shelby County,Texas,25436,25719,26029,25896,25581,25402
Sherman County,Texas,3027,3032,3064,3083,3077,3072
Smith County,Texas,210470,212832,215088,216854,220050,222936
Somervell County,Texas,8499,8444,8586,8607,8665,8739
Starr County,Texas,61172,61763,62023,62509,63149,63795
Stephens County,Texas,9607,9518,9579,9349,9375,9440
Sterling County,Texas,1138,1169,1189,1232,1352,1352
Stonewall County,Texas,1495,1478,1468,1429,1397,1410
Sutton County,Texas,4060,4013,3931,4001,3971,3913
Swisher County,Texas,7891,7823,7878,7747,7584,7533
Tarrant County,Texas,1816528,1848011,1882338,1913437,1946346,1982498
Taylor County,Texas,131868,132864,134201,134016,135044,136051
Terrell County,Texas,1009,949,914,883,893,837
Terry County,Texas,12663,12647,12598,12679,12773,12739
Throckmorton County,Texas,1632,1640,1605,1606,1614,1579
Titus County,Texas,32401,32434,32631,32590,32487,32623
Tom Green County,Texas,110676,111837,113493,114963,116881,118105
Travis County,Texas,1030431,1062041,1096661,1121968,1150996,1176558
Trinity County,Texas,14710,14654,14319,14409,14241,14402
Tyler County,Texas,21760,21672,21450,21450,21389,21347
Upshur County,Texas,39379,39760,39945,39808,40366,40603
Upton County,Texas,3343,3286,3259,3365,3465,3651
Uvalde County,Texas,26447,26584,26775,26944,27214,27245
Val Verde County,Texas,49011,49000,48939,49056,48916,48988
Van Zandt County,Texas,52623,52592,52303,52398,52839,53547
Victoria County,Texas,86860,87468,89291,90138,91217,92382
Walker County,Texas,68213,68316,68497,69341,69798,70699
Waller County,Texas,43455,44023,44337,45420,46798,48656
Ward County,Texas,10604,10686,10865,11238,11613,11721
Washington County,Texas,33726,33962,33880,34160,34413,34765
Webb County,Texas,251337,255639,260015,263861,267018,269721
Wharton County,Texas,41312,41248,41151,41239,41197,41486
Wheeler County,Texas,5396,5453,5589,5715,5678,5657
Wichita County,Texas,131809,130859,131787,132480,132955,131705
Wilbarger County,Texas,13502,13426,13254,13137,12944,13027
Willacy County,Texas,22201,22119,22120,21953,21917,21903
Williamson County,Texas,426488,442466,456469,471082,489428,508514
Wilson County,Texas,43075,43705,44450,45429,46440,47520
Winkler County,Texas,7080,7139,7336,7601,7798,8005
Wise County,Texas,59108,59969,60430,61048,61813,62953
Wood County,Texas,42007,42157,42511,42553,42985,43356
Yoakum County,Texas,7845,7986,8038,8168,8326,8546
Young County,Texas,18543,18356,18299,18378,18340,18270
Zapata County,Texas,14075,14210,14250,14373,14333,14374
Zavala County,Texas,11711,11822,11943,12128,12170,12235
Beaver County,Utah,6653,6532,6498,6467,6454,6354
Box Elder County,Utah,50160,50262,50264,50848,51484,52097
Cache County,Utah,113367,114879,115968,117276,118340,120783
Carbon County,Utah,21421,21334,21252,20951,20620,20479
Daggett County,Utah,1074,1166,1095,1139,1120,1109
Davis County,Utah,307929,312126,316155,322851,329694,336043
Duchesne County,Utah,18631,18746,19074,20083,20319,20862
Emery County,Utah,10992,10975,10922,10740,10632,10370
Garfield County,Utah,5185,5167,5091,5060,5016,5009
Grand County,Utah,9306,9278,9335,9362,9451,9516
Iron County,Utah,46267,46659,46730,46681,47259,48368
Juab County,Utah,10259,10339,10321,10291,10456,10594
Kane County,Utah,7139,7223,7203,7218,7235,7131
Millard County,Utah,12514,12596,12524,12590,12555,12645
Morgan County,Utah,9528,9659,9815,10224,10617,11065
Piute County,Utah,1556,1523,1528,1520,1486,1517
Rich County,Utah,2251,2313,2272,2269,2293,2311
Salt Lake County,Utah,1033182,1048686,1064745,1081155,1092888,1107314
San Juan County,Utah,14826,14796,14923,15017,15252,15772
Sanpete County,Utah,27879,28015,27992,28171,28348,28778
Sevier County,Utah,20812,20914,20753,20857,20847,20984
Summit County,Utah,36512,37444,37923,38468,39136,39633
Tooele County,Utah,58517,59272,59864,60750,61625,62952
Uintah County,Utah,32444,33286,34685,35745,36963,37928
Utah County,Utah,520011,530538,540100,552406,561534,575205
Wasatch County,Utah,23639,24404,25371,26584,27785,29161
Washington County,Utah,138424,141507,144597,147637,151876,155602
Wayne County,Utah,2765,2754,2725,2724,2713,2692
Weber County,Utah,232183,234047,236618,238601,240500,243645
Addison County,Vermont,36820,36873,36852,36920,37035,37035
Bennington County,Vermont,37105,36833,36684,36698,36412,36317
Caledonia County,Vermont,31181,31127,31090,31122,30941,30780
Chittenden County,Vermont,156805,157746,158752,159931,160743,161382
Essex County,Vermont,6302,6328,6223,6192,6129,6163
Franklin County,Vermont,47797,48162,48246,48267,48618,48799
Grand Isle County,Vermont,6952,6978,6970,6979,6974,6861
Lamoille County,Vermont,24537,24698,24951,25108,25143,25235
Orange County,Vermont,28952,29053,28954,28873,28868,28899
Orleans County,Vermont,27246,27185,27168,27189,27086,27100
Rutland County,Vermont,61585,61266,60915,60585,60150,59736
Washington County,Vermont,59570,59556,59358,59195,58940,58612
Windham County,Vermont,44509,44233,44002,43902,43766,43386
Windsor County,Vermont,56623,56649,56233,56168,55962,55737
Accomack County,Virginia,33165,33287,33314,33005,32998,32973
Albemarle County,Virginia,99236,100643,101962,102883,104351,105703
Alleghany County,Virginia,16211,16340,16233,16195,15884,15677
Amelia County,Virginia,12742,12757,12740,12698,12785,12903
Amherst County,Virginia,32385,32119,32449,32198,32062,31914
Appomattox County,Virginia,15035,15003,15137,15222,15266,15414
Arlington County,Virginia,209429,216544,221739,225652,226624,229164
Augusta County,Virginia,73478,73845,73813,74132,74159,74314
